"CountryName","PopTotal2020","PopTotal2030","BaseHC2030","RegionCode","PlusOneHC2030","MinusOneHC2030","BaseHC2020","pop2030","pop2020","basepoorpop","plusonepop","minusonepop","basepoorpop2020","frag"
"Afghanistan",38054.941,46699.545,141,"SAS",,,,46.699545,38.054941,6584.635845,,,,1
"Albania",2942.034,2933.419,1,"ECA",0.00111321,0.001769613,0.001319179,2.933419,2.942034,2.933419,0.00326551136499,0.005191016396847,0.003881069470086,0
"Algeria",43333.255,48821.963,2,"MNA",0.001288555,0.002078928,0.001621158,48.821963,43.333255,97.643926,0.062909784533465,0.101497345895664,0.07025005300929,0
"Andorra",77.184,78.154,,"OHI",,,,0.078154,0.077184,,,,,0
"Angola",32827.401,44712.282,3,"SSA",0.1671618,0.2717862,0.2169927,44.712282,32.827401,134.136846,7.4741855412276,12.1521812181084,7.1233063769727,1
"Antigua and Barbuda",105.11,114.608,,"OHI",,,,0.114608,0.10511,,,,,0
"Argentina",45510.399,49323.306,4,"LAC",0.004285598,0.005819186,0.004961057,49.323306,45.510399,197.293224,0.211379861546988,0.287021491748916,0.225779683531743,0
"Armenia",2938.679,2907.463,5,"ECA",0.001496771,0.002106581,0.001744093,2.907463,2.938679,14.537315,0.004351806301973,0.006124806314003,0.005125329473147,0
"Aruba",106.438,109.377,,"OHI",,,,0.109377,0.106438,,,,,0
"Australia",25398.177,28234.742,6,"OHI",0.002470975,0.004980354,0.002470975,28.234742,25.398177,169.408452,0.06976734161345,0.140619010258668,0.062758260412575,0
"Austria",8782.21,8945.882,7,"OHI",0.004944102,0.007479796,0.004944102,8.945882,8.78221,62.621174,0.044229353087964,0.066913372400072,0.04342014202542,0
"Azerbaijan",10099.743,10680.202,8,"ECA",0,0,0,10.680202,10.099743,85.441616,0,0,0,0
"Bahamas",406.839,439.896,,"OHI",,,,0.439896,0.406839,,,,,0
"Bahrain",1697.765,2013.135,,"OHI",,,,2.013135,1.697765,,,,,0
"Bangladesh",169775.309,185584.811,9,"SAS",0.0002216147,0.0008605982,0.0003480127,185.584811,169.775309,1670.263299,0.0411283222143217,0.15971395429394,0.0590839636784243,1
"Barbados",287.568,290.01,,"OHI",,,,0.29001,0.287568,,,,,0
"Belarus",9415.431,9163.118,8,"ECA",0,0,0,9.163118,9.415431,73.304944,0,0,0,0
"Belgium",11619.972,12001.594,8,"OHI",0,0,0,12.001594,11.619972,96.012752,0,0,0,0
"Belize",398.007,472.702,10,"LAC",0.08407703,0.1167539,0.09710131,0.472702,0.398007,4.72702,0.03974338023506,0.0551898020378,0.03864700108917,0
"Benin",12122.985,15628.437,11,"SSA",0.1780184,0.2057407,0.1900401,15.628437,12.122985,171.912807,2.7821493492408,3.2154055682859,2.3038532816985,0
"Bermuda",60.639,59.273,,"OHI",,,,0.059273,0.060639,,,,,0
"Bhutan",835.245,913.697,12,"SAS",0.0002434446,0.0002434446,0.0002434446,0.913697,0.835245,10.964364,0.0002224346006862,0.0002224346006862,0.000203335884927,0
"Bolivia",11543.982,13158.072,13,"LAC",0.02579562,0.03217003,0.0279565,13.158072,11.543982,171.054936,0.33942062524464,0.42329557098216,0.322729332783,0
"Bosnia and Herzegovina",3498.21,3404.781,14,"ECA",0.0007727088,0.0007727088,0.0007727088,3.404781,3.49821,47.666934,0.0026309042407728,0.0026309042407728,0.002703097651248,0
"Botswana",2415.766,2800.433,15,"SSA",0.03372511,0.05973893,0.04412851,2.800433,2.415766,42.006495,0.09444491097263,0.16729487095669,0.10660415408866,0
"Brazil",213863.046,225472.214,16,"LAC",0.0260869,0.03912368,0.03208902,225.472214,213.863046,3607.555424,5.8818710993966,8.82130274942752,6.86265556035492,0
"Brunei Darussalam",444.519,489.666,,"OHI",,,,0.489666,0.444519,,,,,0
"Bulgaria",6940.527,6430.847,17,"ECA",0.004927685,0.004927685,0.004927685,6.430847,6.940527,109.324399,0.031689188299195,0.031689188299195,0.034200730789995,0
"Burkina Faso",20903.345,27382.488,18,"SSA",0.004243535,0.0292129,0.0110739,27.382488,20.903345,492.884784,0.11619854621508,0.7999218836952,0.2314815521955,1
"Burundi",11939.227,15798.849,19,"SSA",0.7312622,0.8248585,0.7803589,15.798849,11.939227,300.178131,11.5531010772078,13.0318148878665,9.3168820485703,1
"Cabo Verde",567.348,635.072,20,"SSA",0.008623117,0.01701126,0.01106806,0.635072,0.567348,12.70144,0.005476300159424,0.01080337491072,0.00627944170488,0
"Cambodia",16715.508,18797.878,,"EAP",,,,18.797878,16.715508,,,,,0
"Cameroon",25958.184,32979.644,21,"SSA",0.03242747,0.0675205,0.04967058,32.979644,25.958184,692.572524,1.06944641642068,2.226802052702,1.28935805502672,1
"Canada",37603.205,40617.535,22,"OHI",0.002473669,0.002473669,0.002473669,40.617535,37.603205,893.58577,0.100474337185915,0.100474337185915,0.093017882509145,0
"Central African Republic",4920.889,6123.615,23,"SSA",0.4324454,0.545306,0.4946765,6.123615,4.920889,140.843145,2.648129138121,3.33924400119,2.4342481474085,1
"Chad",16285.093,21459.963,24,"SSA",0.2251677,0.3162632,0.2661198,21.459963,16.285093,515.039112,4.8320905107951,6.7869965702616,4.3337856921414,1
"Chile",18472.639,19637.321,25,"LAC",0.008265598,0.01006687,0.009026004,19.637321,18.472639,490.933025,0.162314201182958,0.19768635765527,0.166734113504556,0
"China",1424548.266,1441181.813,26,"EAP",0.0003654194,0.0005337907,0.000439683,1441.181813,1424.548266,37470.727138,0.526635793397372,0.769289448788539,0.626349655239678,0
"China, Taiwan Province of China",23817.905,24150.708,,"OHI",,,,24.150708,23.817905,,,,,
"Colombia",50220.412,53134.127,27,"LAC",0.01753504,0.02573365,0.02157975,53.134127,50.220412,1434.621429,0.93170904231008,1.36733502727355,1.083743935857,0
"Comoros",869.601,1061.775,28,"SSA",0.08129968,0.127484,0.09690667,1.061775,0.869601,29.7297,0.086321967732,0.1353593241,0.08427013713867,1
"Congo, Republic of",5686.917,7318.887,30,"SSA",0.3092581,0.4055169,0.353223,7.318887,5.686917,219.56661,2.2634250877347,2.9679323676903,2.008749883491,1
"Cook Islands",17.515,17.861,,"EAP",,,,0.017861,0.017515,,,,,
"Costa Rica",5044.179,5417.379,31,"LAC",0.005676741,0.006895467,0.00625209,5.417379,5.044179,167.938749,0.030753057481839,0.037355358120993,0.03153666108411,0
"Cote d'Ivoire",26171.75,33337.306,32,"SSA",0.01718598,0.03039214,0.0226721,33.337306,26.17175,1066.793792,0.57293427416988,1.01319207117484,0.593368533175,1
"Croatia",4115.947,3895.784,33,"ECA",0.004952592,0.004952592,0.004952592,3.895784,4.115947,128.560872,0.019294228672128,0.019294228672128,0.020384606184624,0
"Cuba",11495.492,11496,,"LAC",,,,11.496,11.495492,,,,,0
"Cyprus",1207.343,1282.204,8,"OHI",0,0,0,1.282204,1.207343,10.257632,0,0,0,0
"Czech Republic",10633.424,10528.196,8,"ECA",0,0,0,10.528196,10.633424,84.225568,0,0,0,0
"Dem. People's Republic of Korea",25840.863,26743.895,,"EAP",,,,26.743895,25.840863,,,,,
"Congo, Democratic Republic of",89505.201,120442.943,29,"SSA",0.3315104,0.4598485,0.3914464,120.442943,89.505201,3492.845347,39.9280882111072,55.3855066741355,35.0364887127264,1
"Denmark",5796.8,6024.516,34,"OHI",0.002117451,0.002117451,0.002117451,6.024516,5.7968,204.833544,0.012756617428716,0.012756617428716,0.0122744399568,0
"Djibouti",999.899,1132.71,35,"MNA",0.02610933,0.03514298,0.03081654,1.13271,0.999899,39.64485,0.0295742991843,0.0398068048758,0.03081342752946,1
"Dominica",75.052,77.593,,"OHI",,,,0.077593,0.075052,,,,,0
"Dominican Republic",11108.358,12098.32,36,"LAC",0.001364814,0.001659902,0.001596853,12.09832,11.108358,435.53952,0.01651195651248,0.02008202556464,0.017738414797374,0
"Ecuador",17335.642,19554.856,37,"LAC",0.02124887,0.03280969,0.02641115,19.554856,17.335642,723.529672,0.41551859301272,0.64158876335464,0.4578542412083,0
"Egypt, Arab Republic of",102941.484,119745.677,38,"MNA",0,0.0002953394,0.0002953394,119.745677,102.941484,4550.335726,0,0.0353656163977738,0.0304026761196696,1
"El Salvador",6479.066,6785.583,39,"LAC",0.002958925,0.007972332,0.00464819,6.785583,6.479066,264.637737,0.020078031178275,0.054096920489556,0.03011592979054,0
"Equatorial Guinea",1406.28,1871.22,,"SSA",,,,1.87122,1.40628,,,,,1
"Eritrea",5432.216,6717.687,,"SSA",,,,6.717687,5.432216,,,,,1
"Estonia",1300.559,1253.59,40,"ECA",0.00469465,0.00469465,0.00469465,1.25359,1.300559,50.1436,0.0058851662935,0.0058851662935,0.00610566930935,0
"Ethiopia",112759.07,139620.178,42,"SSA",0.001998831,0.005866231,0.003618885,139.620178,112.75907,5864.047476,0.279077140011918,0.819044216409118,0.40806210703695,1
"Fiji",924.915,970.27,43,"EAP",0.0003736218,0.001903606,0.0008744438,0.97027,0.924915,41.72161,0.000362514023886,0.00184701179362,0.000808786187277,0
"Finland",5580.127,5739.095,8,"OHI",0,0,0,5.739095,5.580127,45.91276,0,0,0,0
"France",65721.165,67894.271,8,"OHI",0,0,0,67.894271,65.721165,543.154168,0,0,0,0
"Gabon",2151.289,2593.514,44,"SSA",0.006818465,0.01353165,0.009786744,2.593514,2.151289,114.114616,0.01768378443601,0.0350945237181,0.021054114713016,0
"Gambia, The",2293.493,3000.667,45,"SSA",0.006358175,0.01805891,0.01232829,3.000667,2.293493,135.030015,0.019078765902725,0.05418877529297,0.02827484681697,1
"Georgia",3898.529,3748.35,46,"ECA",0.003700413,0.008283656,0.004773395,3.74835,3.898529,172.4241,0.01387044306855,0.0310500419676,0.018609218835955,0
"Germany",82540.45,82186.736,8,"OHI",0,0,0,82.186736,82.54045,657.493888,0,0,0,0
"Ghana",30733.755,37294.019,47,"SSA",0.009446639,0.0193345,0.01340291,37.294019,30.733755,1752.818893,0.352303134352141,0.7210612103555,0.41192175222705,0
"Greece",11102.572,10783.625,48,"OHI",0.009988616,0.01249596,0.01249596,10.783625,11.102572,517.614,0.107713489213,0.134751746655,0.13873729560912,0
"Guatemala",17910.812,21202.726,49,"LAC",0.01762229,0.0294526,0.02232545,21.202726,17.910812,1038.933574,0.37364058636254,0.6244754077876,0.3998669377654,1
"Guinea",13750.826,17631.38,50,"SSA",0.01521358,0.03223589,0.02285685,17.63138,13.750826,881.569,0.2682364101404,0.5683632262282,0.3143005672581,1
"Guinea-Bissau",2000.694,2492.58,51,"SSA",0.186015,0.2915679,0.2356333,2.49258,2.000694,127.12158,0.4636572687,0.726756316182,0.4714301295102,1
"Guyana",790.782,824.982,8,"LAC",0,0,0,0.824982,0.790782,6.599856,0,0,0,0
"Haiti",11371.185,12543.964,52,"LAC",0.09914859,0.1688288,0.1321154,12.543964,11.371185,652.286128,1.24371634361076,2.1177823893632,1.502308654749,1
"Holy See",0.801,0.797,,"OHI",,,,0.000797,0.000801,,,,,
"Honduras",9719.265,11147.351,53,"LAC",0.04369803,0.07074213,0.05808717,11.147351,9.719265,590.809603,0.48711727841853,0.78858735359763,0.56456459833005,1
"Hungary",9621.254,9235.459,54,"ECA",0.002467752,0.004902724,0.004902724,9.235459,9.621254,498.714786,0.022790822418168,0.045278906490316,0.047170352895896,0
"Iceland",343.228,365.646,8,"OHI",0,0,0,0.365646,0.343228,2.925168,0,0,0,0
"India",1383197.753,1512985.207,55,"SAS",0.0001996838,0.0006753139,0.000323652,1512.985207,1383.197753,83214.186385,0.302118635477547,1.02173994078148,0.447674719153956,0
"Indonesia",272222.987,295595.234,56,"EAP",0.0001495574,0.001481105,0.0005159971,295.595234,272.222987,16553.333104,0.0442084546494316,0.43780757905357,0.140466271845338,0
"Iran, Islamic Republic of",83587.129,88863.308,57,"MNA",0.0004573426,0.0009718287,0.0005942279,88.863308,83.587129,5065.208556,0.0406409763253208,0.0863599130913396,0.0496698041326991,1
"Iraq",41502.885,53297.666,58,"MNA",0.0002075588,0.001615318,0.000569742,53.297666,41.502885,3091.264628,0.0110623995977608,0.086092679247788,0.02364593670567,1
"Ireland",4887.992,5219.951,59,"OHI",0.00229269,0.00229269,0.00229269,5.219951,4.887992,307.977109,0.01196772945819,0.01196772945819,0.01120665037848,0
"Israel",8713.559,9983.645,60,"OHI",0.001981409,0.004834883,0.004834883,9.983645,8.713559,599.0187,0.019781684055805,0.048269755488535,0.042129038278597,0
"Italy",59132.073,58109.918,61,"OHI",0.01748613,0.01998616,0.01748613,58.109918,59.132073,3544.704998,1.01611758043734,1.16139411873488,1.03399111564749,0
"Jamaica",2913.16,2932.629,62,"LAC",0.007852581,0.01434513,0.009334959,2.932629,2.91316,181.822998,0.023028706765449,0.04206894424677,0.02719422916044,0
"Japan",126495.647,121580.505,63,"OHI",0.00220788,0.00220788,0.00220788,121.580505,126.495647,7659.571815,0.2684351653794,0.2684351653794,0.27928720909836,0
"Jordan",10208.662,11122.063,64,"MNA",0.0004085488,0.001027426,0.0004600598,11.122063,10.208662,711.812032,0.0045439054921744,0.011427096699838,0.0046965949979876,0
"Kazakhstan",18777.139,20301.322,8,"ECA",0,0,0,20.301322,18.777139,162.410576,0,0,0,0
"Kenya",53491.697,66959.993,65,"SSA",0.03428746,0.06469717,0.04865702,66.959993,53.491697,4352.399545,2.29588808158778,4.33212205031981,2.60274657076294,1
"Kiribati",122.439,141.538,66,"EAP",0.02009329,0.03599227,0.0315839,0.141538,0.122439,9.341508,0.00284396408002,0.00509427391126,0.0038671011321,0
"Kuwait",4302.875,4873.674,,"OHI",,,,4.873674,4.302875,,,,,0
"Kyrgyz Republic",6301.718,6997.284,69,"ECA",0.001299602,0.003036617,0.002076861,6.997284,6.301718,482.812596,0.009093684280968,0.021248071548228,0.013087792347198,0
"Lao People's Democratic Republic",7164.822,8048.698,70,"EAP",0.0006296632,0.001118205,0.0009085796,8.048698,7.164822,563.40886,0.0050679689385136,0.00900009434709,0.0065098111068312,1
"Latvia",1892.993,1747.192,71,"ECA",0.004549141,0.004549141,0.004549141,1.747192,1.892993,124.050632,0.007948222762072,0.007948222762072,0.008611492069013,0
"Lebanon",6019.795,5368.598,8,"MNA",0,0,0,5.368598,6.019795,42.948784,0,0,0,0
"Lesotho",2322.217,2607.957,72,"SSA",0.3968507,0.4896797,0.4480774,2.607957,2.322217,187.772904,1.0349695610199,1.2770636013729,1.0405329555958,0
